Search Query,andreasjansson-clip,voyage-multimodal-3,voyage-multimodal-3.5,jina-clip-v2,jina-clip-v2-d32,jina-embeddings-v4,jina-embeddings-v4-d128
Eragon,0.3,0.41,0.47,0.260,DNF,0.7,0.780
Eragon by Christopher Paolini,0.3,0.440,0.5,0.340,DNF,0.77,0.83
Eldest,0.169,0.25,0.340,DNF,DNF,0.660,DNF
Eldest by Christopher Paolini,0.340,0.395,0.540,0.274,DNF,0.77,0.79
Brisingr,0.29,0.326,0.42,0.22,DNF,DNF,DNF
Brisingr by Christopher Paolini,0.32,DNF,0.5,0.32,DNF,0.783,0.82
Inheritance,0.22,0.22,0.32,0.19,DNF,0.6,0.670
Inheritance by Christopher Paolini,0.34,0.35,0.56,0.287,DNF,0.745,0.779
Xenocide,0.25,0.3,0.42,DNF,DNF,0.630,DNF
Xenocide by Card,0.26,0.316,0.5,0.284,DNF,0.686,DNF
Xenocide by Orson Scott Card,0.34,0.4,0.6,0.318,DNF,0.79,0.825
The Hunger Games,,,,,,,
Hunger Games by Suzanne Collins,,,,,,,
Catching Fire,,,,,,,
Catching Fire by Collins,,,,,,,
Mockingjay,,,,,,,
The Silmarillion,,,,,,,
The Fellowship of the Ring,,,,,,,
The Fellowship of the Ring by Tolkien,,,,,,,
The Two Towers,,,,,,,
The Return of the King by Tolkien,,,,,,,
The return of the king,,,,,,,
a game of thrones,,,,,,,
Christine,,,,,,,
Prince Caspian,,,,,,,
The Golden Compass,,,,,,,
Golden Compass by Philip Pullman,,,,,,,
Dune,,,,,,,
Dune by Frank Herbert,,,,,,,
